External ID,Date,Account,Memo,Debit,Credit,Subsidiary ID,Location ID
MP06102021,06/10/2021,40000,Rent,0.0,0.0,111,18
MP06102021,06/10/2021,40008,Recurring,0.0,0.0,111,18
MP06102021,06/10/2021,40008,Late Fee,0.0,0.0,111,18
MP06102021,06/10/2021,40008,NSF Fee,0.0,0.0,111,18
MP06102021,06/10/2021,40008,Admin Fee,0.0,0.0,111,18
MP06102021,06/10/2021,40009,Insurance,0.0,0.0,111,18
MP06102021,06/10/2021,40008,Other,0.0,0.0,111,18
MP06102021,06/10/2021,40008,Misc Deposit,0.0,0.0,111,18
MP06102021,06/10/2021,22210,Security Deposit,0.0,0.0,111,18
MP06102021,06/10/2021,40010,Merchandise,0.0,0.0,111,18
MP06102021,06/10/2021,20102,Tax 1,0.0,0.0,111,18
MP06102021,06/10/2021,20102,Tax 2,0.0,0.0,111,18
MP06102021,06/10/2021,10205,cash & check,0.0,0.0,111,18
MP06102021,06/10/2021,10205,ACH,0.0,0.0,111,18
MP06102021,06/10/2021,10205,credit card,0.0,0.0,111,18
MP06102021,06/10/2021,10205,overnight charges,0.0,0.0,111,18
MP06102021,06/10/2021,19001,green apple,0.0,0.0,111,18
MP06122021,06/12/2021,40000,Rent,0.0,0.0,111,18
MP06122021,06/12/2021,40008,Recurring,0.0,0.0,111,18
MP06122021,06/12/2021,40008,Late Fee,0.0,0.0,111,18
MP06122021,06/12/2021,40008,NSF Fee,0.0,0.0,111,18
MP06122021,06/12/2021,40008,Admin Fee,0.0,0.0,111,18
MP06122021,06/12/2021,40009,Insurance,0.0,0.0,111,18
MP06122021,06/12/2021,40008,Other,0.0,0.0,111,18
MP06122021,06/12/2021,40008,Misc Deposit,0.0,0.0,111,18
MP06122021,06/12/2021,22210,Security Deposit,0.0,0.0,111,18
MP06122021,06/12/2021,40010,Merchandise,0.0,0.0,111,18
MP06122021,06/12/2021,20102,Tax 1,0.0,0.0,111,18
MP06122021,06/12/2021,20102,Tax 2,0.0,0.0,111,18
MP06122021,06/12/2021,10205,cash & check,0.0,0.0,111,18
MP06122021,06/12/2021,10205,ACH,0.0,0.0,111,18
MP06122021,06/12/2021,10205,credit card,0.0,0.0,111,18
MP06122021,06/12/2021,10205,overnight charges,0.0,0.0,111,18
MP06122021,06/12/2021,19001,green apple,0.0,0.0,111,18
